population,calibration,comparison,difference,relative_reduction,block_days,low95,high95,family4_low,family4_high,primary
outer,calibrated,D_minus_C_onset,0.0001456487024623561,-0.011344467192131625,3,2.5407883427780354e-05,0.00021880924721923964,,,False
outer,calibrated,D_minus_C_onset,0.0001456487024623561,-0.011344467192131625,1,3.5895769774232964e-05,0.00024907106037563815,,,False
outer,calibrated,E_minus_D_onset,-0.00016992850468557544,0.013087136024454386,3,-0.00027554662750994336,9.325921868635593e-06,,,False
outer,calibrated,E_minus_D_onset,-0.00016992850468557544,0.013087136024454386,1,-0.0003016127419278975,-6.402543393958379e-06,,,False
outer,calibrated,E_minus_B_onset,0.0001249542465067349,-0.009847051116455535,3,3.295309209845479e-05,0.00018650411349455397,,,False
outer,calibrated,E_minus_B_onset,0.0001249542465067349,-0.009847051116455535,1,4.659996613199527e-05,0.00021068146916104454,,,False
outer,calibrated,R_union_minus_A_G_onset,-0.0020594249596810194,0.14452471339611778,3,-0.002810171910787794,-0.0010043737445347947,,,False
outer,calibrated,R_union_minus_A_G_onset,-0.0020594249596810194,0.14452471339611778,1,-0.003190452248656417,-0.0010448092679070256,,,False
outer,calibrated,A_mono_minus_A_G_onset,0.00011748254559829302,-0.008244598159220866,3,-2.5257209800338312e-05,0.00022983797426715782,,,False
outer,calibrated,A_mono_minus_A_G_onset,0.00011748254559829302,-0.008244598159220866,1,-5.890633263723288e-07,0.00023672693137266547,,,False
outer,calibrated,B_minus_A_G_onset,-0.0015601294947449975,0.10948554693819705,3,-0.0021303359543739034,-0.0006418987326944506,,,False
outer,calibrated,B_minus_A_G_onset,-0.0015601294947449975,0.10948554693819705,1,-0.002264990649527947,-0.0008090638490307503,,,False
outer,calibrated,K_minus_A_G_onset,-0.0007432103441928787,0.05215643399997577,3,-0.0010392493215484848,-0.00027390449488376645,,,False
outer,calibrated,K_minus_A_G_onset,-0.0007432103441928787,0.05215643399997577,1,-0.0011295589315393688,-0.00033097241293157697,,,False
outer,calibrated,C_minus_A_G_onset,-0.001410895446015043,0.09901271663658723,3,-0.0019257410457833352,-0.0005872868438945008,,,False
outer,calibrated,C_minus_A_G_onset,-0.001410895446015043,0.09901271663658723,1,-0.002039554201943134,-0.0007373404047258773,,,False
outer,calibrated,D_minus_A_G_onset,-0.0012652467435526871,0.0887914959599432,3,-0.001730529384110958,-0.0005544420143212777,,,False
outer,calibrated,D_minus_A_G_onset,-0.0012652467435526871,0.0887914959599432,1,-0.0018170756802143907,-0.0006746383305617046,,,False
outer,calibrated,M_minus_A_G_onset,-0.0006508940962236343,0.04567793658406288,3,-0.0009259165828880884,-0.0002778734686464729,,,False
outer,calibrated,M_minus_A_G_onset,-0.0006508940962236343,0.04567793658406288,1,-0.0009377337238842729,-0.0003366612782764229,,,False
outer,calibrated,S_minus_A_G_onset,-0.0007647693067226692,0.053669382003295206,3,-0.0010512633938988517,-0.00034370780596508255,,,False
outer,calibrated,S_minus_A_G_onset,-0.0007647693067226692,0.053669382003295206,1,-0.0010838437383313252,-0.0004194222510748683,,,False
outer,calibrated,E_minus_A_G_onset,-0.0014351752482382623,0.10071660559895501,3,-0.001980536858251766,-0.0005433962778147038,,,False
outer,calibrated,E_minus_A_G_onset,-0.0014351752482382623,0.10071660559895501,1,-0.0021033206406996965,-0.0007110761793964264,,,False
