split,origin,model,step,mae_raw
inner_diagnosis,22960,original,3,3.5999086790909427
inner_diagnosis,22960,original,6,4.757289955472739
inner_diagnosis,22960,location_repair,3,3.474429061231561
inner_diagnosis,22960,location_repair,6,4.734994721702656
inner_diagnosis,23020,original,3,0.9929899471268075
inner_diagnosis,23020,original,6,0.976676264470394
inner_diagnosis,23020,location_repair,3,0.9746328986304598
inner_diagnosis,23020,location_repair,6,0.9579017381847531
inner_diagnosis,23080,original,3,1.3824271298028539
inner_diagnosis,23080,original,6,2.091014909040119
inner_diagnosis,23080,location_repair,3,1.36206506894852
inner_diagnosis,23080,location_repair,6,2.0243591818183515
inner_diagnosis,23140,original,3,4.607654403333415
inner_diagnosis,23140,original,6,6.181643256448496
inner_diagnosis,23140,location_repair,3,4.065724050896732
inner_diagnosis,23140,location_repair,6,5.753431379268874
inner_diagnosis,23200,original,3,2.078508540126665
inner_diagnosis,23200,original,6,3.8859189581427716
inner_diagnosis,23200,location_repair,3,2.0120493309389196
inner_diagnosis,23200,location_repair,6,3.8353631120760308
inner_diagnosis,23260,original,3,1.4473678120139821
inner_diagnosis,23260,original,6,1.533377707086773
inner_diagnosis,23260,location_repair,3,1.3891769199020239
inner_diagnosis,23260,location_repair,6,1.5091184191889258
inner_diagnosis,23320,original,3,0.8696210257844301
inner_diagnosis,23320,original,6,0.9415025466884716
inner_diagnosis,23320,location_repair,3,0.8700518348561282
inner_diagnosis,23320,location_repair,6,0.9223559163734948
inner_diagnosis,23380,original,3,1.5727455516560074
inner_diagnosis,23380,original,6,1.7188297499232088
inner_diagnosis,23380,location_repair,3,1.5693622089025983
inner_diagnosis,23380,location_repair,6,1.7223322337889626
inner_diagnosis,23440,original,3,2.137315963880713
inner_diagnosis,23440,original,6,3.1882541104022004
inner_diagnosis,23440,location_repair,3,2.0523928680256054
inner_diagnosis,23440,location_repair,6,3.0818431246762676
inner_diagnosis,23500,original,3,3.1105507386871145
inner_diagnosis,23500,original,6,4.514505405921399
inner_diagnosis,23500,location_repair,3,2.7905124470681817
inner_diagnosis,23500,location_repair,6,4.080934974399398
inner_diagnosis,23572,original,3,1.4318442841997099
inner_diagnosis,23572,original,6,1.7691426364815184
inner_diagnosis,23572,location_repair,3,1.4156423708741463
inner_diagnosis,23572,location_repair,6,1.7354268941582793
validation,31409,location_repair,3,1.2535732201671401
validation,31409,location_repair,6,1.0976606668394844
validation,31490,location_repair,3,3.2251558392030066
validation,31490,location_repair,6,3.905904511793843
validation,31571,location_repair,3,2.0447764357147347
validation,31571,location_repair,6,3.388208496104873
validation,31652,location_repair,3,1.0410171992240767
validation,31652,location_repair,6,1.0417728994778952
validation,31733,location_repair,3,1.6142924171887072
validation,31733,location_repair,6,1.5006966004110835
validation,31815,location_repair,3,2.1809617792773097
validation,31815,location_repair,6,2.6969718130526497
validation,31896,location_repair,3,2.08569434434904
validation,31896,location_repair,6,2.719573533921363
validation,31977,location_repair,3,0.8390122977622289
validation,31977,location_repair,6,0.8179818052229682
validation,32058,location_repair,3,1.07948639184214
validation,32058,location_repair,6,1.4206721811628915
validation,32139,location_repair,3,1.802871522033894
validation,32139,location_repair,6,2.1259770868663668
validation,32221,location_repair,3,0.9750324364140373
validation,32221,location_repair,6,1.2136371979729084
validation,32302,location_repair,3,0.9331403403780517
validation,32302,location_repair,6,0.9103590548099961
