origin,repeat,model,N,total_seconds,preparation_seconds,probability,mc_lower,mc_upper
40992,3,original,256,0.019361503000254743,0.012612160004209727,0.5390625,0.47589910459977025,0.601311049375117
41723,3,location_repair,256,0.019532023994543124,0.01317107399518136,0.0,0.0,0.014306362729039375
41723,3,original,256,0.020933209998474922,0.013031668000621721,0.0,0.0,0.014306362729039375
31409,4,original,256,0.074985036997532,0.06390296499739634,0.0,0.0,0.014306362729039375
31409,4,location_repair,256,0.07389285899989773,0.06572710799810011,0.0,0.0,0.014306362729039375
32058,4,original,256,0.02372188000299502,0.014190212998073548,0.0,0.0,0.014306362729039375
32058,4,location_repair,256,0.02143530199828092,0.013853438998921774,0.0,0.0,0.014306362729039375
32708,4,original,256,0.01884148299723165,0.0112269439996453,0.0,0.0,0.014306362729039375
32708,4,location_repair,256,0.022289592001470737,0.014066935000300873,0.0,0.0,0.014306362729039375
33439,4,original,256,0.019986390994745307,0.012269222999748308,0.0,0.0,0.014306362729039375
33439,4,location_repair,256,0.02073836400086293,0.0139232270012144,0.0,0.0,0.014306362729039375
34089,4,original,256,0.017626774999371264,0.01083191000361694,0.00390625,9.889279722355371e-05,0.021570890352533498
34089,4,location_repair,256,0.020976314997824375,0.014456677999987733,0.00390625,9.889279722355371e-05,0.021570890352533498
34819,4,original,256,0.019441399999777786,0.011275692995695863,0.0,0.0,0.014306362729039375
34819,4,location_repair,256,0.022891932996571995,0.01341524099552771,0.0,0.0,0.014306362729039375
35469,4,original,256,0.017840009997598827,0.011210828997718636,0.0,0.0,0.014306362729039375
35469,4,location_repair,256,0.021731036002165638,0.013044870000157971,0.0,0.0,0.014306362729039375
36200,4,original,256,0.024976373002573382,0.012899612003820948,0.0,0.0,0.014306362729039375
36200,4,location_repair,256,0.02164600199466804,0.012748386994644534,0.0,0.0,0.014306362729039375
36850,4,original,256,0.02091909499722533,0.012325737996434327,0.0,0.0,0.014306362729039375
36850,4,location_repair,256,0.02160257899959106,0.013263381995784584,0.0,0.0,0.014306362729039375
37581,4,original,256,0.017762242001481354,0.010976174999086652,0.0,0.0,0.014306362729039375
37581,4,location_repair,256,0.021465363999595866,0.012631506004254334,0.0,0.0,0.014306362729039375
38230,4,original,256,0.02004445999773452,0.011399146002077032,0.0,0.0,0.014306362729039375
38230,4,location_repair,256,0.020342707000963856,0.013546059002692346,0.0,0.0,0.014306362729039375
38961,4,original,256,0.01961780700366944,0.011277798999799415,0.66796875,0.6066303247832971,0.725364391784965
38961,4,location_repair,256,0.023421680998580996,0.013408270999207161,0.87890625,0.8325382167908462,0.9162203853225371
39611,4,original,256,0.023609374002262484,0.012568887999805156,0.0,0.0,0.014306362729039375
39611,4,location_repair,256,0.021478947994182818,0.012836460999096744,0.0,0.0,0.014306362729039375
40342,4,original,256,0.01758820599934552,0.010990923998178914,0.0,0.0,0.014306362729039375
40342,4,location_repair,256,0.020579734002240002,0.013008367001020815,0.0,0.0,0.014306362729039375
40992,4,original,256,0.020268677995773032,0.010932295997918118,0.5390625,0.47589910459977025,0.601311049375117
40992,4,location_repair,256,0.025225896999472752,0.015825082999072038,0.94140625,0.9051991415444257,0.9668381679733287
41723,4,original,256,0.02371397699607769,0.011102281998319086,0.0,0.0,0.014306362729039375
41723,4,location_repair,256,0.02337222500500502,0.01524405500094872,0.0,0.0,0.014306362729039375
